date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:58	282069/282069	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2021:54:58%20GMT	https://www.jonway.studio/	C:/My%20Web%20Sites/jonway/www.jonway.studio/index.html	(from )
14:54:58	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2021:54:58%20GMT	https://www.jonway.studio/robots.txt		(from )
14:54:59	620622/620622	---M-Z	200	added ('OK')	text/css	etag:%2238ff7aaad82afc1aa9e559cc82073df2%22	https://uploads-ssl.webflow.com/5cb7be195426f23752acf2dc/css/jonway.webflow.58fd4b488.min.css	C:/My%20Web%20Sites/jonway/uploads-ssl.webflow.com/5cb7be195426f23752acf2dc/css/jonway.webflow.58fd4b488.min.css	(from https://www.jonway.studio/)
14:54:59	1162/1162	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227e0ecaec16317e1ba227bfbf8165fd43%22	https://uploads-ssl.webflow.com/5cb7be195426f23752acf2dc/63fc69f1d9cefaf19a6a8491_favicon-23.svg	C:/My%20Web%20Sites/jonway/uploads-ssl.webflow.com/5cb7be195426f23752acf2dc/63fc69f1d9cefaf19a6a8491_favicon-23.svg	(from https://www.jonway.studio/)
14:54:59	5754/5754	---M--	200	added ('OK')	image/jpeg	etag:%22e07c0a00c90a123fb7ebbfe8b530ecee%22	https://uploads-ssl.webflow.com/5cb7be195426f23752acf2dc/5d3a54b55216e36947911481_Artboard.jpg	C:/My%20Web%20Sites/jonway/uploads-ssl.webflow.com/5cb7be195426f23752acf2dc/5d3a54b55216e36947911481_Artboard.jpg	(from https://www.jonway.studio/)
14:54:59	229711/229711	---MC-	200	added ('OK')	application/javascript	date:Sat,%2027%20May%202023%2021:54:59%20GMT	https://www.googletagmanager.com/gtag/js?id=G-0QY08CE09B	C:/My%20Web%20Sites/jonway/www.googletagmanager.com/gtag/js9e0e	(from https://www.jonway.studio/)
14:55:00	23122/23122	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/My%20Web%20Sites/jonway/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.jonway.studio/)
14:55:00	18440/18440	---M-Z	200	added ('OK')	application/javascript	etag:W/%224808-98jcUWHSC9JHe1jYw2HWpeOx6ko%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	C:/My%20Web%20Sites/jonway/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://www.jonway.studio/)
14:55:00	10126/10126	---M-Z	200	added ('OK')	application/javascript	etag:W/%22278e-qiynpZJOwswHsZ+wLKxtks4k8SA%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	C:/My%20Web%20Sites/jonway/cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	(from https://www.jonway.studio/)
14:55:00	10088/10088	---M-Z	200	added ('OK')	application/javascript	etag:W/%222768-ReVA5t+JRQz7oIMM1MJ3tyQYdvU%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsnest@1/cmsnest.js	C:/My%20Web%20Sites/jonway/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsnest@1/cmsnest.js	(from https://www.jonway.studio/)
